,codigo,cobacia,cocursodag,q95,XGBRFRegressor_intervalo_i,XGBRFRegressor_intervalo_f,XGBRFRegressor_qtde_dados,XGBRFRegressor_desvio_padrao,XGBRFRegressor_media,XGBRFRegressor_media_lower_bound,XGBRFRegressor_media_upper_bound,XGBRFRegressor_mediana,XGBRFRegressor_mediana_lower_bound,XGBRFRegressor_mediana_upper_bound,XGBRFRegressor_moda,XGBRFRegressor_dentro_intervalo
"(41050000,)","(41050000,)",76954793,76954,2.8698,0.6638634875416756,43.75063133239746,186,13.523666381835938,11.169088,9.262839961051942,13.179316139221191,3.0669960975646973,1.5213066339492798,5.794960021972656,0.49491274,1
"(41075001,)","(41075001,)",769543991,76954,9.669585,0.8060854151844978,55.66790819168091,186,17.722749710083008,21.025646,18.482755661010742,23.799703788757324,23.7384033203125,19.72897720336914,25.902137756347656,0.6394345,1
"(41135000,)","(41135000,)",76951173,76,230.307,58.845849609375,589.2576782226554,193,142.3612823486328,252.60509,234.3635284423828,273.13408813476565,266.0096740722656,215.50030517578125,292.83710632324215,39.179363,1
"(41150000,)","(41150000,)",769499975,7694,1.46,0.8649055570363998,46.60226716995239,178,13.255011558532715,11.293893,9.49413504600525,13.304772233963012,4.455031394958496,3.098574638366699,6.699215888977051,0.77006334,1
"(41151000,)","(41151000,)",769499975,7694,0.8705000000000002,1.0377954989671707,37.09422969818115,191,11.156818389892578,9.401454,7.978392994403839,10.99093837738037,3.175438165664673,2.430191993713379,4.34094762802124,0.80968606,0
"(41180000,)","(41180000,)",76949983,7694998,3.4419,0.8102797865867615,45.52562713623047,181,13.35019302368164,10.846631,9.09087245464325,12.932712507247924,3.153416156768799,2.6823015213012695,6.001465797424316,0.6801678,1
"(41199998,)","(41199998,)",769499571,7694,11.5124,0.8759644627571106,108.27212677001943,212,25.487661361694336,16.949734,13.60470790863037,20.572477769851684,5.753379821777344,2.7228713035583496,10.705601692199707,0.71768534,1
"(41250000,)","(41250000,)",76949831,769498,1.3317,0.5537500232458115,43.963006019592285,191,13.979565620422363,11.035704,9.06775767803192,13.036418008804322,2.2170767784118652,1.2264537811279297,5.399696350097656,0.41369307,1
"(41260000,)","(41260000,)",7694977,7694,18.8523,0.9339841604232788,70.49644527435305,220,22.436120986938477,23.309406,20.579750633239748,26.442674493789674,21.72356414794922,19.992531538009644,22.838780641555783,0.83605623,1
"(41300000,)","(41300000,)",76949639,769496,1.523,0.6616402208805084,45.846536731719965,212,13.302567481994629,9.932137,8.129987835884094,11.695677137374878,2.0377559661865234,1.2894863873720168,3.031205654144287,0.45184886,1
"(41340000,)","(41340000,)",76949597,7694,21.8598,1.0540221869945525,61.050748443603545,175,17.311691284179688,21.691544,19.249152994155885,24.287996101379395,21.98664665222168,19.093416213989258,23.851259231567383,0.75300884,1
"(41380000,)","(41380000,)",769495811,7694958,0.98,0.5778276965022087,46.39566802978517,220,14.450039863586426,11.692614,9.958011436462403,13.742196679115295,2.3986668586730957,1.1317485570907593,6.509270668029785,0.54310364,1
"(41410000,)","(41410000,)",769495597,7694,26.3377,0.9056822970509529,94.4864948272705,192,33.20906066894531,30.974314,26.610426950454713,36.010162925720216,25.313861846923828,22.75275230407715,30.26673674583435,0.7886428,1
"(41440005,)","(41440005,)",769495675,7694956,0.5381,0.5744141489267349,46.82639198303221,208,14.519436836242676,10.676148,8.669796061515807,12.732014560699463,1.9865000247955322,1.0886025428771973,3.6473536491394043,0.41369307,0
"(41539998,)","(41539998,)",769495633,7694956,1.4889,0.5257375091314316,41.55280017852783,175,13.057591438293457,9.152499,7.198425149917602,11.13977129459381,0.9528818726539612,0.8714398100972176,1.7531929016113281,0.49227947,1
"(41600000,)","(41600000,)",769495513,7694,27.9617,3.633743077516556,150.60516891479492,192,42.913509368896484,54.60956,48.59695863723755,60.28336935043335,42.253326416015625,38.82259540557861,46.52138137817383,0.7880351,1
"(41650002,)","(41650002,)",7694937,7694,30.8772,11.967263412475587,191.17486877441405,193,48.769561767578125,60.710766,54.19740972518921,67.23567428588868,44.55555725097656,42.2274169921875,50.701934814453125,1.1868064,1
"(41685000,)","(41685000,)",769492513,769492,0.0535,0.7297831103205681,146.8062057495117,204,41.042388916015625,41.60207,36.22019634246826,46.92998609542847,29.121623992919922,26.053600549697876,31.390655517578125,0.5565537,0
