,index,q95,rodada,y_pred_XGBRegressor
12,136,0.1093,1752,-0.10436717
13,95,6.8993,1752,3.5946662
14,47,0.98,1752,1.3896722
15,39,1.46,1752,1.9723718
16,70,24.3336,1752,27.280027
17,34,1.8049,1752,2.3764434
18,81,60.9434,1752,48.01217
19,11,2.2915,1752,3.280953
20,144,0.0,1752,-0.29294333
21,115,100.569,1752,48.577446
22,27,0.1986199999999995,1752,0.0718442
23,24,19.7695,1752,21.504726
24,40,0.8705000000000002,1752,1.9723718
25,2,4.9898,1752,4.3629174
26,89,14.256,1752,28.761166
27,42,11.5124,1752,4.727019
28,90,21.952,1752,29.838621
29,106,64.84307000000018,1752,70.376305
0,60,0.265,1753,0.49645615
1,84,6.2164,1753,13.990729
2,80,48.2795,1753,59.725864
3,1,7.1585,1753,5.0124435
4,107,592.418,1753,537.9303
5,15,20.7338,1753,31.70655
6,146,781.017,1753,817.6501
7,11,2.2915,1753,2.2953794
8,121,25.9419,1753,29.328863
9,86,417.366,1753,347.54126
10,30,25.3048,1753,27.593489
11,100,0.0224,1753,6.071149
12,46,21.8598,1753,18.194939
13,16,4.3194,1753,4.1486917
14,34,1.8049,1753,0.01572159
15,89,14.256,1753,24.12505
16,45,1.523,1753,1.1876615
17,93,19.7051,1753,34.49308
18,97,499.1056,1753,539.2575
19,13,0.6751,1753,0.78226846
20,99,0.2635,1753,0.28897706
21,145,710.2378499999994,1753,817.6675
22,65,4.2191,1753,0.89437664
23,141,806.112,1753,817.8195
24,19,1.9377,1753,3.992862
25,66,0.5634,1753,-0.014280326
26,27,0.1986199999999995,1753,0.13992867
27,109,21.0648,1753,8.951168
28,50,1.4889,1753,0.7811354
29,40,0.8705000000000002,1753,1.460645
0,19,1.9377,1754,1.948314
1,137,893.539,1754,732.54944
2,62,0.9316,1754,0.78232
3,3,1.143840000000003,1754,2.3590095
4,100,0.0224,1754,-0.1696598
5,31,2.27,1754,5.471769
6,92,26.507345,1754,21.076315
7,148,804.869,1754,775.90924
8,53,0.0535,1754,1.8226571
9,56,1.0565,1754,0.47573364
10,84,6.2164,1754,16.294865
11,114,116.727,1754,66.466385
12,63,351.6975,1754,230.32805
13,104,60.6356,1754,37.89967
14,5,0.4344,1754,1.6314324
15,18,0.4606,1754,1.274949
16,17,0.7619,1754,2.1854892
17,139,0.0,1754,-0.64254314
18,23,16.2733,1754,23.023977
19,142,0.0,1754,0.7554066
20,128,90.0729,1754,91.11287
21,25,0.036,1754,0.082817495
22,52,30.8772,1754,30.026407
23,145,710.2378499999994,1754,781.2219
24,41,3.4419,1754,2.80533
25,147,0.0,1754,0.93367463
26,37,9.669585,1754,22.803005
27,60,0.265,1754,0.17324525
28,44,18.8523,1754,22.838518
29,32,4.744,1754,4.476513
0,112,38.6483,1755,26.630188
1,108,521.196,1755,499.4238
2,111,30.2317,1755,21.250498
3,118,674.9713000000012,1755,653.7326
4,132,63.9294,1755,55.731827
5,0,2.601039999999997,1755,2.2887292
6,136,0.1093,1755,15.1651
7,105,3.8259,1755,13.675373
8,127,92.2362,1755,95.263466
9,139,0.0,1755,1.238426
10,85,72.7823,1755,61.79064
11,14,3.1201,1755,2.640757
12,72,1.2908,1755,0.7265515
13,95,6.8993,1755,12.892274
14,13,0.6751,1755,0.6428757
15,47,0.98,1755,3.675882
16,34,1.8049,1755,2.176583
17,142,0.0,1755,3.1563137
18,120,12.7955,1755,11.779591
