,codigo,cobacia,cocursodag,nanoSF,qmlt,q95,q95jan,q95fev,q95mar,q95abr,q95mai,q95jun,q95jul,q95ago,q95set,q95out,q95nov,q95dez,qmltjan,qmltfev,qmltmar,qmltabr,qmltmai,qmltjun,qmltjul,qmltago,qmltset,qmltout,qmltnov,qmltdez,A,S,Lprinc,Panual,Pmax,Pmin,Peq,Peq400,Peq750,medP_djf,medP_mam,medP_jja,medP_son,ETPanual,medE_djf,medE_mam,medE_jja,medE_son,cluster_kmeans
72,42440000,7686915,7686,43,7.725707698139568,1.2908,2.873090000000001,3.0762,3.4786,2.48955,1.8873,1.577,1.306,1.0976,1.0689,0.8831199999999996,1.2908,1.9975,15.36873085553998,14.76892761538461,14.86309501054109,9.33915432624115,5.342460329444077,3.887689645390095,3.023634341397844,2.534870624571036,2.231362646450726,2.876162457103648,5.874355289855072,13.47173004032253,555.8905953827691,0.0019064405802637,77.52409463876947,1363.096755645171,2087.732978559,901.0173096285345,24.02754525177305,16.97667519364559,10.80716389278406,704.6999174567148,293.0352132713297,22.42678282877965,338.7212704427784,1449.848472071064,379.4462626846764,335.9910223686067,321.5736627497456,415.3867886838466,0
73,42460000,76847751,7684,42,54.81871766215804,14.8822,16.476,19.7425,28.3584,34.3304,27.5041,21.0844,15.0139,12.1892,9.977,9.898,14.8822,15.6683,78.62865918979766,82.46470856911874,84.37759962490635,76.95764023255825,55.64421137197372,43.13026765151535,37.41715549853389,32.48177456011749,29.66239545454543,30.84537192082116,43.64150765151524,66.01291913489747,3955.372778386382,9.93127031269e-05,194.9723449534577,1328.691770828967,1823.098186435727,879.3473943789902,166.6499004693966,116.4802812610458,72.58186445373877,624.8711441552757,318.6041054994437,21.51756535305956,356.2867724020817,1425.403595511301,362.3222950401247,330.7027529885304,334.1126280148397,400.8481617916281,0
74,42490000,76847333,7684,51,65.67853961055972,14.6056,20.58416,24.47177,22.3981,19.96522500000005,19.931,17.2412,14.1731,11.906,11.2385,11.397085,16.4546,18.406555,100.4096516749379,101.3187333560247,107.3434168734495,86.35744304041032,55.84745136476408,45.3249241025641,38.27810694789088,32.74665313092989,30.02688570512812,35.27681366223911,60.4368357692307,96.00664927261205,5411.61081607429,0.0001439432192567,275.4841489387385,1326.175604932334,1828.242318426152,861.0460657395683,227.5731306337418,158.9327093238193,98.87234067763711,627.8966893329142,315.7308080377024,21.37666105531155,354.0678125679072,1427.947240185316,364.4427454032445,331.3483014297059,332.409928219907,402.3462813737066,0
75,42540000,7684717,7684,33,82.14661991733011,16.5676,33.1922,35.47504000000001,44.6652,36.52464999999997,28.3403,22.9128,14.143,12.34237999999999,10.0067,10.7232,18.8853,26.81605,137.2458904683651,141.8174781076067,137.2677361788622,105.5290912605044,65.73836688796698,51.97327938596486,42.98491513647647,37.02669861337677,32.95196435897428,38.93565996691481,72.32978588235282,124.551410413223,5968.165864614271,0.0001528346561843,329.4722828678461,1325.031417062437,1832.493416978692,852.3905923260354,250.7612656282824,175.0615463916731,108.8242920596401,630.2027407733211,313.8398685171263,21.33420639640359,352.6794701376219,1429.56552190888,365.5688534993192,331.7421055472806,331.6168693758821,403.2362960364591,0
76,42545002,7684653,76846,39,4.689691455989433,0.9202,1.5463,1.7446,1.786569999999999,1.5115,1.2174,0.97085,0.7729649999999982,0.6679,0.5193,0.6199599999999984,0.9946,1.261704999999999,7.844798232129128,8.221704717775893,8.877998924731173,5.455238730158732,3.119626750590092,2.390030813008124,2.016729346970884,1.710921854838713,1.532106500802565,2.159376160503541,4.933573174603177,7.870789063729344,435.1267668572245,0.0034593926351511,77.0895679268812,1307.555364381529,1753.822598705672,781.3745662729877,18.04136029268629,12.52224858724204,7.693025844978323,632.0659403327647,304.9491121157582,19.77167531957984,344.5060009826698,1435.749442488339,370.9713255801336,333.5465111110786,327.298523346322,406.5923428632031,0
77,42545500,76846111,76846,43,7.520253536672264,1.0102,2.078129999999996,2.0992,2.22617,1.5145,1.278290000000001,0.9379,0.6295,0.5952,0.588,0.7219000000000004,1.380040000000001,1.6922,16.2581012448133,13.61421969696966,13.23752061928219,7.689755555555557,4.080877629733557,3.143173478260849,2.514254488078536,2.140100981767175,1.991724202898548,3.657528962131846,9.034266206395346,12.98733764954256,682.6732633666055,0.0022540642858075,120.6556122827852,1299.899532657009,1756.644357578752,765.8838219514141,28.13948046701185,19.48050959731873,11.90391008633726,633.5000543754029,299.7109292757801,19.78702246655993,340.9717407194009,1439.564907656309,373.035814108378,334.3915514794571,326.2322285003095,408.5706559884763,0
78,42546000,7684473,76844,44,7.135178008005386,1.1114,2.0883,1.93,2.1353,1.8041,1.255110000000001,1.0825,0.9335,0.8631,0.8631,0.8916,1.4942,1.7747,12.79398064516127,11.67956905120482,13.44560694249649,8.109694057971023,3.832666900420731,2.622359275362316,2.247443308167453,1.915702640722718,2.054844115523459,3.428128060522683,9.052227662616135,14.47241564859302,553.54037500182,0.0020334745055118,69.65578811521833,1311.090788239485,1758.508072017417,790.569174409972,23.01311791550977,15.99205785714067,9.848630306067706,634.2939616489865,305.1850188909904,19.38115506637419,345.9242330464268,1437.645828621096,370.9580482145995,334.0314050060335,328.4605472387925,406.9072456521395,0
79,42600000,7684319,7684,47,106.1674251845544,19.0626,36.7372,40.3073,41.906775,34.14746999999992,27.8028,23.0038,18.6433,15.85340000000001,14.1828,14.799565,25.4231,33.99867999999999,188.3309519340526,179.5980272727277,193.1486243613708,135.1829368421053,76.474924751861,58.85201358974355,49.00846805210927,42.15944342431766,38.97836057692307,48.90617855787494,102.2748830065359,168.2178036685645,9468.453870140484,0.000183123983648,457.2952472826961,1307.391697904579,1810.028027356583,821.1967066615883,392.5348167749286,272.4377357229185,167.3527898024095,632.2814259004109,303.0546206019004,20.79583322777962,344.9170344338827,1437.385394613258,370.2176377225285,333.6704978387349,329.0766753682072,407.0741259740179,0
80,42690001,7683771,768,50,311.3235907156749,48.2795,94.3333,121.28225,140.526,97.698,70.4109,55.1169,43.3834,31.5065,24.2878,28.9516,65.1563,107.773,620.8369555831266,604.5813729067396,560.1117166253115,391.2882865384615,216.0929887096773,161.6055280769226,128.8409424937958,104.5750517690875,93.1329325,117.8164267868236,261.9620589743582,489.6844255583138,30075.64348101917,0.0001665725316924,366.9412792572747,1341.562281290357,2004.860567338696,887.2864120553295,1279.437749862745,897.9607904383518,564.1684509420078,688.5578077558657,289.7324530006455,22.18337454116492,335.9937309292229,1442.721356348773,377.975196883778,333.9357175648948,320.1473644444941,413.1544106753034,0
81,42750000,76833,768,29,350.8025882490722,60.9434,181.4846500000001,148.975,168.5817999999997,119.786,87.25,68.4881,54.8946,44.577,43.4774,46.8047,84.4737,139.4112499999999,715.8935403892948,704.4529676233184,627.7563103365392,419.0277600813013,228.1853633359557,170.9613736752136,136.2251318708608,114.312256739306,102.3274614200172,134.1845250205088,285.8484525608733,576.3817689795923,33529.87087500755,0.0001828706081343,401.5699196658182,1328.141015614025,1988.672578974088,876.8022730365535,1412.113037713713,986.8229454381221,614.6941146969806,682.3546265772927,285.493607697423,21.75426121458221,333.4483323317143,1445.540545907602,379.2901952298101,334.668112921599,319.8518353633812,414.2436085602656,0
