,codigo,cobacia,cocursodag,q95,XGBRegressor_intervalo_i,XGBRegressor_intervalo_f,XGBRegressor_qtde_dados,XGBRegressor_desvio_padrao,XGBRegressor_media,XGBRegressor_media_lower_bound,XGBRegressor_media_upper_bound,XGBRegressor_mediana,XGBRegressor_mediana_lower_bound,XGBRegressor_mediana_upper_bound,XGBRegressor_moda,XGBRegressor_dentro_intervalo
"(45260000,)","(45260000,)",7656193,7656,64.84307000000018,1.4955077052116394,245.77422981262208,180,52.7952766418457,58.244053,50.60717506408692,66.54953250885009,52.7897834777832,46.15485763549805,57.65806579589844,0.18155992,1
"(45298000,)","(45298000,)",765593,76,592.418,334.46884765625003,825.4433563232421,223,130.19789123535156,557.4339,540.0391967773437,574.9874725341797,533.9766845703125,527.0501098632812,538.5,228.11865,1
"(45480000,)","(45480000,)",765131,76,521.196,352.2032836914062,866.3572143554687,225,132.67994689941406,591.7005,574.1840133666992,609.2541915893555,587.4309692382812,548.6572662353516,611.9639892578125,243.24525,1
"(45590000,)","(45590000,)",76461117,7646,21.0648,0.9807018846273422,66.3210271835327,194,20.33491325378418,21.95466,19.12890019416809,24.771891593933105,15.707294464111328,9.339444398880005,24.629863739013672,0.08448221,1
"(45740001,)","(45740001,)",764711,764,19.308,1.0430981516838074,250.0571746826172,221,58.004127502441406,45.514183,38.56324243545532,53.699643230438234,36.214351654052734,30.070091247558594,44.244415283203125,0.06614804,1
"(45770000,)","(45770000,)",76441333,7644,30.2317,0.8839923590421677,97.27311935424805,207,28.31888771057129,29.894001,26.068088865280153,33.75914487838745,24.902345657348633,21.52800750732422,28.558683395385742,-0.22736824,1
"(45840000,)","(45840000,)",7642331,7642,38.6483,0.23720428347587588,101.00808639526365,189,29.45018196105957,31.922237,27.557857942581176,36.13521356582641,26.642620086669922,23.197763442993164,31.297563552856445,-0.7249284,1
"(45880000,)","(45880000,)",76421513,7642,37.4758,1.9903664588928223,103.75140686035154,209,43.02473831176758,41.49705,36.0838285446167,47.707756710052486,35.95559310913086,28.78780174255371,41.34733200073242,0.12799707,1
"(45910001,)","(45910001,)",764199,764,116.727,8.78520040512085,393.03974761962985,195,118.46277618408203,114.44445,98.95511455535889,131.9501308441162,69.07108306884766,60.824893951416016,78.42875671386719,1.6617751,1
"(45960001,)","(45960001,)",7641511,764,100.569,5.423113584518433,350.6268005371094,211,109.62577056884766,106.102684,91.82352275848389,121.72068767547607,73.87628936767578,66.72203063964844,79.97461166381835,1.6393225,1
"(46035000,)","(46035000,)",763935,76,651.657800000002,382.06909561157227,877.6966171264648,196,132.863525390625,620.4097,600.7314559936524,638.7935668945313,597.884765625,567.611703491211,640.9603591918946,243.20734,1
"(46105000,)","(46105000,)",7637,76,653.749,351.56395263671874,843.7287658691405,173,135.48983764648438,608.6277,589.055062866211,628.9880661010742,586.4234008789062,552.7732543945312,636.6411743164062,250.09369,1
"(46150000,)","(46150000,)",763379,76,674.9713000000012,352.1589813232422,846.2770385742188,221,122.6033706665039,631.76044,616.3699447631836,647.9301208496094,646.6123046875,612.4505615234375,659.5776977539062,253.6069,1
"(46360000,)","(46360000,)",763193,76,649.721,468.1813591003418,873.2244583129883,190,117.15167236328125,659.3933,642.7584457397461,677.496435546875,669.01171875,637.0897827148438,689.328074645996,352.72552,1
"(46415000,)","(46415000,)",7628113,7628,12.7955,0.3647808074951173,77.50379486083983,213,27.27776336669922,24.473171,21.097439670562743,28.30791187286377,14.297025680541992,10.429615306854249,22.55467987060547,-0.42538506,1
"(46455000,)","(46455000,)",762913,762,25.9419,0.46416140422224994,84.55673198699951,178,23.86166000366211,29.653786,26.543295335769653,33.24539737701416,27.719024658203125,25.15879945755005,30.901575088500977,-0.48735464,1
