,index,q95,rodada,y_pred_knnr
11,0,2.601039999999997,4,12.120580000000002
12,47,0.98,4,14.66109666666667
13,58,49.4681,4,14.66109666666667
14,44,18.8523,4,16.798233333333332
15,18,0.4606,4,2.39029
16,102,29.2342,4,32.3963
17,54,8.7703,4,24.457196666666672
18,146,781.017,4,754.7929499999999
19,28,0.1309,4,0.17497333333333318
20,24,19.7695,4,9.172099999999999
21,124,44.9176,4,90.57756666666667
22,111,30.2317,4,32.3963
23,100,0.0224,4,0.3983666666666667
24,17,0.7619,4,17.114833333333333
25,127,92.2362,4,90.57756666666667
26,83,4.8713,4,3.023533333333333
27,26,0.0785,4,0.17497333333333318
28,104,60.6356,4,45.87019000000006
29,120,12.7955,4,28.75696666666667
0,42,11.5124,5,1.9241333333333335
1,100,0.0224,5,0.3983666666666667
2,136,0.1093,5,0.0271
3,78,1.1114,5,10.79
4,55,41.95629000000001,5,3.7464
5,149,749.272,5,765.3746166666665
6,52,30.8772,5,18.5437
7,77,1.0102,5,7.130133333333333
8,24,19.7695,5,9.172099999999999
9,105,3.8259,5,14.6402
10,49,0.5381,5,1.2668666666666666
11,88,5.661469999999989,5,11.5754
12,126,26.5578,5,41.1985
13,31,2.27,5,3.1679899999999996
14,74,14.6056,5,10.79
15,104,60.6356,5,45.87019000000006
16,14,3.1201,5,0.30323999999999984
17,125,4.1632,5,20.847233333333335
18,127,92.2362,5,75.40563333333334
19,79,19.0626,5,7.130133333333333
20,12,4.6613,5,4.804
21,32,4.744,5,3.1679899999999996
22,7,44.5338,5,27.102256666666666
23,26,0.0785,5,0.12183999999999984
24,97,499.1056,5,537.3863333333334
25,5,0.4344,5,8.788633333333332
26,65,4.2191,5,6.4204116666666495
27,37,9.669585,5,2.991566666666666
28,18,0.4606,5,2.39029
29,109,21.0648,5,27.225166666666667
0,91,2.2008,6,17.47628166666667
1,97,499.1056,6,537.3863333333334
2,134,0.0,6,0.06353333333333333
3,75,16.5676,6,16.183466666666664
4,34,1.8049,6,4.333328333333333
5,60,0.265,6,1.1226333333333334
6,117,653.749,6,658.7833666666678
7,55,41.95629000000001,6,13.542499999999999
8,82,0.8080000000000002,6,3.891
9,138,819.714,6,803.2962833333331
10,32,4.744,6,2.5453233333333336
11,109,21.0648,6,27.225166666666667
12,98,0.9242,6,1.2827666666666666
13,85,72.7823,6,36.46758166666667
14,102,29.2342,6,43.171866666666666
15,115,100.569,6,57.83693333333333
16,67,3.9056,6,6.27451166666665
17,64,1.3146,6,9.359644999999983
18,122,1.7296,6,10.011066666666666
19,133,155.102,6,91.1785
20,12,4.6613,6,4.804
21,15,20.7338,6,12.4751
22,7,44.5338,6,27.102256666666666
23,1,7.1585,6,3.423880000000001
24,71,1.5634,6,5.370066666666666
25,139,0.0,6,0.0
26,80,48.2795,6,35.743
27,38,230.307,6,215.71973333333332
28,14,3.1201,6,0.26320000000000005
29,99,0.2635,6,0.7992666666666667
0,49,0.5381,7,11.115366666666667
1,60,0.265,7,0.8796333333333334
2,32,4.744,7,2.5453233333333336
3,73,14.8822,7,16.745266666666666
4,117,653.749,7,658.7833666666678
5,69,9.8188,7,8.568333333333333
6,102,29.2342,7,32.3963
7,104,60.6356,7,45.87019000000006
8,144,0.0,7,0.0
9,86,417.366,7,443.76303333333334
10,138,819.714,7,803.2962833333331
11,18,0.4606,7,2.39029
12,90,21.952,7,29.671381666666665
13,11,2.2915,7,5.593933333333332
14,26,0.0785,7,0.2066066666666665
