,index,q95,rodada,y_pred_brr
28,121,25.9419,251,30.577133101306927
29,82,0.8080000000000002,251,-6.5370080834849205
0,105,3.8259,252,9.926828862699708
1,28,0.1309,252,7.269962590574352
2,61,1.4438,252,7.857416152178317
3,42,11.5124,252,9.040538317700708
4,95,6.8993,252,9.446496715343827
5,7,44.5338,252,34.864195861626946
6,45,1.523,252,4.752725604095119
7,23,16.2733,252,17.44769401312429
8,135,0.0813,252,5.075140366833622
9,12,4.6613,252,8.859166611869242
10,58,49.4681,252,67.50989085431827
11,33,4.3,252,5.332631832754657
12,108,521.196,252,606.0613252934937
13,117,653.749,252,678.8988583302713
14,112,38.6483,252,26.6760784529027
15,30,25.3048,252,34.028137099986935
16,29,0.2903,252,7.459667236773882
17,80,48.2795,252,88.19477249685585
18,86,417.366,252,428.54133911317217
19,8,1.06597,252,-0.2369990751542872
20,144,0.0,252,-6.967416726721808
21,18,0.4606,252,-0.11346676182702709
22,37,9.669585,252,10.50709377255032
23,9,50.0127,252,48.55128205846986
24,145,710.2378499999994,252,792.6484265109162
25,53,0.0535,252,-2.1396840928217244
26,54,8.7703,252,11.777088865708535
27,146,781.017,252,792.3869612608408
28,55,41.95629000000001,252,49.28445263588459
29,40,0.8705000000000002,252,4.035633415443158
0,112,38.6483,253,27.551648894408274
1,124,44.9176,253,65.18876473753882
2,12,4.6613,253,8.09471271164115
3,109,21.0648,253,22.770879017061958
4,1,7.1585,253,3.2211668197300583
5,122,1.7296,253,16.407679330117233
6,13,0.6751,253,5.952724496683459
7,96,539.255,253,510.46923692579566
8,90,21.952,253,52.95403077467976
9,10,7.8011,253,11.276038568013078
10,142,0.0,253,3.6091581380028686
11,114,116.727,253,69.14022673659383
12,46,21.8598,253,19.68683574698416
13,39,1.46,253,3.991669407247656
14,14,3.1201,253,9.077040997510139
15,29,0.2903,253,6.542434567216944
16,56,1.0565,253,-4.595572198505792
17,74,14.6056,253,20.40625948104436
18,61,1.4438,253,5.531279888958522
19,84,6.2164,253,7.618453455242914
20,68,14.04103499999995,253,23.794453110806998
21,80,48.2795,253,88.5075400495877
22,125,4.1632,253,30.650706267023025
23,121,25.9419,253,33.70271495597309
24,103,35.2917,253,20.246264311750863
25,116,651.657800000002,253,661.1356271969713
26,58,49.4681,253,64.82877916602102
27,89,14.256,253,38.95834801152734
28,17,0.7619,253,1.454955924397197
29,139,0.0,253,12.361426112314604
0,48,26.3377,254,23.363576080479817
1,50,1.4889,254,-0.1018894541632136
2,63,351.6975,254,288.85683248597195
3,104,60.6356,254,32.7906390805604
4,128,90.0729,254,85.62676403841343
5,110,19.308,254,28.699621421365066
6,55,41.95629000000001,254,46.270576683085736
7,144,0.0,254,-7.693651207720691
8,64,1.3146,254,-0.10938215351795577
9,96,539.255,254,505.25308341578165
10,136,0.1093,254,-3.400102797147923
11,135,0.0813,254,3.72889040453839
12,57,0.3474,254,-2.678598690632654
13,99,0.2635,254,1.8724705297105118
14,69,9.8188,254,6.674387406204971
15,56,1.0565,254,-3.6539610526381665
16,29,0.2903,254,5.5821611384039045
17,21,1.91,254,4.675489437418307
18,85,72.7823,254,112.9514824324067
19,102,29.2342,254,20.096843439607213
20,100,0.0224,254,15.389439116108946
21,118,674.9713000000012,254,666.4396593993288
22,106,64.84307000000018,254,37.52477915602313
23,6,4.138,254,-0.13648049669437512
24,87,3.9026,254,10.950538895078651
25,46,21.8598,254,18.163018284712535
26,91,2.2008,254,-1.608894849304562
27,30,25.3048,254,31.65219960505324
