,index,q95,rodada,y_pred_XGBRFRegressor
20,24,19.7695,4,21.336712
21,124,44.9176,4,65.10524
22,111,30.2317,4,19.595877
23,100,0.0224,4,13.634848
24,17,0.7619,4,1.5392427
25,127,92.2362,4,79.5235
26,83,4.8713,4,10.823661
27,26,0.0785,4,0.85735893
28,104,60.6356,4,32.41633
29,120,12.7955,4,15.949147
0,42,11.5124,5,2.711753
1,100,0.0224,5,15.62856
2,136,0.1093,5,4.532278
3,78,1.1114,5,1.4948784
4,55,41.95629000000001,5,38.10299
5,149,749.272,5,787.77826
6,52,30.8772,5,23.436089
7,77,1.0102,5,1.5240494
8,24,19.7695,5,21.55857
9,105,3.8259,5,1.5974885
10,49,0.5381,5,0.82962704
11,88,5.661469999999989,5,8.724164
12,126,26.5578,5,28.620491
13,31,2.27,5,2.926054
14,74,14.6056,5,20.505928
15,104,60.6356,5,35.169334
16,14,3.1201,5,2.7423978
17,125,4.1632,5,3.88384
18,127,92.2362,5,85.474144
19,79,19.0626,5,25.924421
20,12,4.6613,5,2.9581223
21,32,4.744,5,3.181963
22,7,44.5338,5,31.574238
23,26,0.0785,5,0.84501934
24,97,499.1056,5,536.8864
25,5,0.4344,5,1.157854
26,65,4.2191,5,2.6784005
27,37,9.669585,5,20.587753
28,18,0.4606,5,1.2430998
29,109,21.0648,5,2.8551793
0,91,2.2008,6,3.8019261
1,97,499.1056,6,541.9088
2,134,0.0,6,1.8053477
3,75,16.5676,6,19.99588
4,34,1.8049,6,1.6513739
5,60,0.265,6,0.69031
6,117,653.749,6,659.82
7,55,41.95629000000001,6,35.74908
8,82,0.8080000000000002,6,0.6710324
9,138,819.714,6,855.42596
10,32,4.744,6,6.101809
11,109,21.0648,6,8.201502
12,98,0.9242,6,1.3204267
13,85,72.7823,6,94.253174
14,102,29.2342,6,20.901363
15,115,100.569,6,103.74805
16,67,3.9056,6,5.3738523
17,64,1.3146,6,1.4347365
18,122,1.7296,6,3.8873835
19,133,155.102,6,120.40539
20,12,4.6613,6,6.05687
21,15,20.7338,6,26.895336
22,7,44.5338,6,28.291918
23,1,7.1585,6,3.3198683
24,71,1.5634,6,3.6079714
25,139,0.0,6,0.72194624
26,80,48.2795,6,87.923256
27,38,230.307,6,287.6206
28,14,3.1201,6,3.930402
29,99,0.2635,6,2.6358817
0,49,0.5381,7,0.8251854
1,60,0.265,7,0.8044745
2,32,4.744,7,5.071587
3,73,14.8822,7,8.71704
4,117,653.749,7,672.48627
5,69,9.8188,7,6.5805607
6,102,29.2342,7,24.022106
7,104,60.6356,7,33.0001
8,144,0.0,7,0.79408896
9,86,417.366,7,385.5517
10,138,819.714,7,842.8283
11,18,0.4606,7,1.4512372
12,90,21.952,7,39.009785
13,11,2.2915,7,1.6725411
14,26,0.0785,7,0.8352257
15,23,16.2733,7,18.579952
16,146,781.017,7,748.6252
17,96,539.255,7,488.86707
18,1,7.1585,7,2.6899958
19,110,19.308,7,34.36784
20,123,22.3438,7,23.326141
21,84,6.2164,7,22.44622
22,126,26.5578,7,29.14912
23,89,14.256,7,30.82517
24,111,30.2317,7,18.910841
25,93,19.7051,7,40.278748
26,54,8.7703,7,8.123941
27,25,0.036,7,0.8352257
28,43,1.3317,7,1.3952909
29,14,3.1201,7,3.4718914
0,115,100.569,8,99.80534
1,46,21.8598,8,19.641026
2,112,38.6483,8,22.47308
3,54,8.7703,8,10.3953085
4,131,65.8824,8,52.115448
5,119,649.721,8,694.1751
6,116,651.657800000002,8,547.816
7,43,1.3317,8,1.1523938
8,31,2.27,8,3.9180415
9,86,417.366,8,374.2499
10,13,0.6751,8,1.0898604
11,143,0.0,8,1.2431116
12,105,3.8259,8,1.6202095
13,26,0.0785,8,1.0898604
14,75,16.5676,8,20.618725
15,58,49.4681,8,42.868546
16,87,3.9026,8,7.635915
17,142,0.0,8,9.702275
18,147,0.0,8,1.3623438
19,141,806.112,8,765.3296
20,149,749.272,8,790.3154
21,140,0.0,8,1.2305703
22,14,3.1201,8,4.208749
23,135,0.0813,8,1.5862508
24,90,21.952,8,36.15526
25,144,0.0,8,1.7837348
26,70,24.3336,8,40.722347
27,29,0.2903,8,1.0898604
28,33,4.3,8,7.147686
29,102,29.2342,8,21.007063
0,54,8.7703,9,11.6169405
1,99,0.2635,9,3.1615407
2,34,1.8049,9,2.3752685
3,126,26.5578,9,28.903559
4,124,44.9176,9,67.4456
