,codigo,cobacia,cocursodag,q95,brr_intervalo_i,brr_intervalo_f,brr_qtde_dados,brr_desvio_padrao,brr_media,brr_media_lower_bound,brr_media_upper_bound,brr_mediana,brr_mediana_lower_bound,brr_mediana_upper_bound,brr_moda,brr_dentro_intervalo
"(40822995,)","(40822995,)",76965623,7696562,0.1309,-42.455423216780105,44.29747637146162,203,22.158830922054385,6.180466593482433,3.2934462728027802,9.221491249708643,7.108012165615463,4.9836863385797585,11.127326051308984,-87.61690827284454,1
"(40823500,)","(40823500,)",769656213,7696562,0.2903,-33.82337471378119,42.368834734290786,191,19.82827973120771,5.554802754062244,2.894038326278241,8.576948682691926,7.35975867744655,2.693748130013759,10.274896609449854,-64.51636689691863,1
"(40850000,)","(40850000,)",7696397,7696,25.3048,-16.364355793773935,102.00526954498372,196,35.718031176352056,38.3616413864822,33.81570720058096,43.72999716417938,35.591657616694405,32.92329847957579,41.511427990284325,-31.6090983737433,1
"(40930000,)","(40930000,)",76958597,76958,2.27,-44.01862522187151,33.95142656490892,200,19.50962546136388,-5.614592757212226,-8.402348362044329,-2.9726631581190737,-5.3203136613715,-9.572061120163164,-3.0280576852460612,-54.57031989806404,1
"(40960000,)","(40960000,)",769583715,76958,4.744,-37.873344425241385,41.86271877028935,192,20.311990299603345,4.008262339214994,1.078801494501418,6.809013178903093,6.866529699234164,1.6124270551445647,9.403680158518199,-48.630369715330346,1
"(40963000,)","(40963000,)",7695835177,76958,4.3,-37.70610760097216,47.77991129696984,206,21.562903095129922,4.614436021207542,1.7092550306691656,7.7920685757931745,3.146036062210932,0.08953917872694732,7.062409039224325,-45.39228464592075,1
"(40975000,)","(40975000,)",769565991,76956,1.8049,-36.947443346665835,34.38762140258342,186,19.1246290364118,-0.1872153187174649,-2.7671163763661384,2.5178128318491457,-0.1683913496457876,-4.324103658146193,4.395948493054192,-51.81938661172552,1
"(41020002,)","(41020002,)",7695557,76,267.5,76.17037440001491,393.8057505800956,200,109.25407786701554,186.39531011873717,172.15379231181925,203.24972700548534,168.52114777272763,157.20271532209551,181.63494435891172,62.56231085385526,1
"(41050000,)","(41050000,)",76954793,76954,2.8698,-39.343261360018964,33.79040162510484,186,20.112204260399704,-2.1640981681847453,-5.223519889615993,0.8332573521681956,-1.9218699093917238,-5.82479626962105,2.3654095193208917,-65.44404184607026,1
"(41075001,)","(41075001,)",769543991,76954,9.669585,-30.156752708268,60.422613838289465,186,22.29791644403684,11.230961923838885,7.755227629712196,14.429581058028846,11.61825258580803,7.950047204193254,16.39171633037214,-40.61161582447484,1
"(41135000,)","(41135000,)",76951173,76,230.307,101.27233810306656,512.7724265388337,193,145.1740190185468,218.5601231302652,200.42496340128477,240.1192518934387,188.69582412804388,176.531517099416,199.54641769114903,45.72973297409856,1
"(41150000,)","(41150000,)",769499975,7694,1.46,-39.848019223336884,36.54209902574401,178,19.50741354453591,0.6019227754212217,-2.259233778975014,3.4047023977143516,1.2939649219547036,-1.0844731784624804,4.761626988943995,-66.9759676784342,1
"(41151000,)","(41151000,)",769499975,7694,0.8705000000000002,-36.009075373541826,27.831674748946543,191,17.4375976830307,-1.327801799317095,-3.661808632706504,1.1304085322913047,-0.7667320997167764,-4.719543497408168,2.307964504013057,-42.89940102786751,1
"(41180000,)","(41180000,)",76949983,7694998,3.4419,-31.070494377921037,33.19308824713819,181,17.559431879606855,0.4829661898977931,-2.2336077198560598,3.0955519100920066,1.0361088550664164,-1.8688227003389528,4.098759066651397,-50.08788393186336,1
"(41199998,)","(41199998,)",769499571,7694,11.5124,-36.018401713461586,42.65478393022715,212,20.033132162544103,2.964312991837583,0.3082356793090964,5.745469613193789,3.8718222081431293,0.28928177573166636,6.032132099588667,-46.54039807498522,1
"(41250000,)","(41250000,)",76949831,769498,1.3317,-36.6094166381557,39.69532964854923,191,19.188241690957422,2.6156156775296946,0.10701874998389609,5.080477379145277,2.4029068331832946,-0.04677572061234514,7.979528950034208,-48.169474627708226,1
"(41260000,)","(41260000,)",7694977,7694,18.8523,-23.896599876842515,66.00970822768454,220,21.905117318459315,17.942012227156734,15.010563252236006,20.762847972828418,17.408146375277305,14.984256476329652,21.221059429575973,-38.17879907810877,1
"(41300000,)","(41300000,)",76949639,769496,1.523,-40.16090538609688,37.29176828974026,212,19.16867468500984,0.3505913797439976,-2.193875764525464,2.8714711522807184,1.6083078253089127,-2.1607574679137826,3.484661570082004,-52.170755045482494,1
"(41340000,)","(41340000,)",76949597,7694,21.8598,-25.28586865781716,62.250202584563226,175,22.262413598868267,19.896282350764086,16.62775520141412,23.13238396955615,20.011239622772337,14.611112675170745,25.56761294340042,-32.754996873966505,1
