,codigo,cobacia,cocursodag,q95,svr_intervalo_i,svr_intervalo_f,svr_qtde_dados,svr_desvio_padrao,svr_media,svr_media_lower_bound,svr_media_upper_bound,svr_mediana,svr_mediana_lower_bound,svr_mediana_upper_bound,svr_moda,svr_dentro_intervalo
"(41050000,)","(41050000,)",76954793,76954,2.8698,3.4019788513959566,10.08342031788784,186,1.8233004631589076,6.591365172165664,6.320334074841664,6.857201283725138,6.4946643488376905,6.164546396942433,7.009543251282356,2.6145169147493883,0
"(41075001,)","(41075001,)",769543991,76954,9.669585,3.2147562081760386,10.635461311106319,186,1.9082359048269997,6.994023989723808,6.691879330278849,7.273667112325286,6.987133119509831,6.689667339619655,7.265575639142402,2.8692127424075515,1
"(41135000,)","(41135000,)",76951173,76,230.307,7.3693996099175125,19.7945492610634,193,3.2546324806315754,12.402340330872088,11.972992693502915,12.868197656861351,11.993189607346551,11.410277838353663,12.570299793570328,6.73865973762947,0
"(41150000,)","(41150000,)",769499975,7694,1.46,3.140877681417239,10.131294031952221,178,2.0002366183364884,6.746998041208777,6.454745901781276,7.031738669134414,6.936100642612809,6.512492070044875,7.242166391536869,2.536463150215887,0
"(41151000,)","(41151000,)",769499975,7694,0.8705000000000002,2.9887695545424853,9.895900658750605,191,1.93472493872687,6.572055130415125,6.302694159592322,6.868451144643216,6.789770388232398,6.251794659616696,7.129582464920299,2.576713822183364,0
"(41180000,)","(41180000,)",76949983,7694998,3.4419,2.64611202696313,9.339199901772172,181,1.8146791433067615,5.86636158132804,5.61878704340437,6.109540951001634,6.127642598584263,5.697899918306894,6.30867784815211,2.2352118368133933,1
"(41199998,)","(41199998,)",769499571,7694,11.5124,3.7207257451090827,8.764229031056685,212,1.3917156043834387,6.037930821458851,5.846106027280259,6.223621775855346,5.774423296103633,5.585442706448128,6.17454548732889,3.236934004636338,0
"(41250000,)","(41250000,)",76949831,769498,1.3317,2.0148393013286157,9.241001094621238,191,1.9072970271841967,5.4110534460067905,5.155377641461063,5.691481733149327,5.366584754785987,5.022122638052137,5.778309034016709,0.7311905341274523,0
"(41260000,)","(41260000,)",7694977,7694,18.8523,3.7888718650542486,9.826615229410631,220,1.6335709882364713,6.58691978692347,6.366142875515166,6.813827245336192,6.33255946942216,6.053283080275606,6.66832380924455,3.2479447384174023,0
"(41300000,)","(41300000,)",76949639,769496,1.523,1.8290441850045012,8.851904075921674,212,1.6968710719643219,5.035084141696489,4.812323484821817,5.259076713715343,5.0341231435539795,4.674609589735408,5.292627107310894,1.5317851921121504,0
"(41340000,)","(41340000,)",76949597,7694,21.8598,3.5597684227851514,9.81807443721233,175,1.6718739477738038,6.494732866255916,6.250160252705945,6.758674880039681,6.247248910820682,5.97564451608224,6.669879366185354,2.6460591739073105,0
"(41380000,)","(41380000,)",769495811,7694958,0.98,2.088122234121082,10.072041142563965,220,2.0317506099811045,6.4742359635570805,6.199980197521974,6.7359689726934,6.535811438700412,6.229208706583026,6.927648923649823,1.1885770888831138,0
"(41410000,)","(41410000,)",769495597,7694,26.3377,3.898859702773441,10.605160290259727,192,1.9062215620811098,7.03894428346558,6.772914033241456,7.3058731196846365,6.810565753411914,6.440918950205108,7.220465165225044,2.771633288543579,0
"(41440005,)","(41440005,)",769495675,7694956,0.5381,2.870035215012316,10.059341840959709,208,1.7595853181781629,6.242007204996113,6.00434211551286,6.46948901114423,6.188965354646119,5.877555714381587,6.439280721473748,1.293876081824604,0
"(41539998,)","(41539998,)",769495633,7694956,1.4889,2.256432195250131,10.454631446091208,175,2.197660547304689,6.162506255571994,5.83422430380581,6.511854326513027,6.092493766084577,5.637014073675366,6.463630092479091,1.7321394154589145,0
"(41600000,)","(41600000,)",769495513,7694,27.9617,4.301147897242715,11.71104938860899,192,2.047606862759506,7.751084666647135,7.457569334011028,8.0412593665016,7.6876871620065135,7.262158544216765,7.961288531341861,2.749632131841436,0
"(41650002,)","(41650002,)",7694937,7694,30.8772,4.951362153085507,12.243134629239908,193,2.0032791127667693,8.271561498250094,7.999442332293541,8.551373168800156,8.318681120548096,7.884034621891427,8.677761301374854,3.872859776428867,0
"(41685000,)","(41685000,)",769492513,769492,0.0535,5.088577395655936,13.21567095612668,204,2.0050507322758784,9.590054632968567,9.294342461377028,9.837955363676256,9.747679570412526,9.346186668571256,10.04385477630546,4.409450474718829,0
"(41780002,)","(41780002,)",7694837,76948,8.7703,3.7244936468296848,12.178039954385179,196,2.2129124741373416,7.1876397086702175,6.888297691280572,7.503169009852307,7.103793931983043,6.68346285602045,7.660271788957793,2.3762153578191345,1
"(41818000,)","(41818000,)",7694713,7694,41.95629000000001,4.847614514484127,13.978464690137873,195,2.9444695305921615,8.954693994448203,8.55809972542016,9.366912470650584,8.417628239775386,8.08542590757437,9.102943840362165,4.354584359635243,0
"(41890000,)","(41890000,)",7694439,76944,1.0565,5.420698989546327,14.398125347668065,200,2.2449089701521463,10.483533841156778,10.20683211511637,10.800569358517253,10.811689792700662,10.565474954687016,10.987383306637094,3.5690074287440403,0
"(41940000,)","(41940000,)",76942133,76942,0.3474,3.734955375167893,13.662069307525517,180,2.5222739940770063,9.004635211514366,8.635346276162332,9.346940513602844,9.17941531698475,8.747481690395826,9.692668531937088,3.066170254815389,0
"(41990000,)","(41990000,)",76941371,7694,49.4681,5.1051619919702445,15.354645804668808,214,2.9758414900614687,9.898746761370322,9.508499096905577,10.293146600009615,9.678790899748861,9.264706350076464,10.090894807367954,3.8513642173225726,0
"(42089998,)","(42089998,)",769257,7692,0.9925,5.887182261924844,15.676720529659585,195,2.5777748494777346,11.249789517767477,10.900626740193612,11.599919438857627,11.705860336452522,11.265043741096193,12.11474208248307,4.065881831800282,0
"(42100000,)","(42100000,)",7692453,76924,0.265,5.28768084940525,14.939110277775148,206,2.5777277813115624,10.54272905186506,10.190961192650192,10.905900965351698,10.89656768919054,10.42677873275685,11.231438171533092,3.0632459788548574,0
"(42145498,)","(42145498,)",769235,7692,1.4438,6.399764166770411,15.614701461715505,204,2.268558809856215,11.622263284390886,11.29670205809708,11.926570091800265,11.774501319089978,11.49818087176391,12.285119855941625,5.266612893752888,0
"(42187000,)","(42187000,)",76912733,76912,0.9316,5.193720741048886,16.114312514450365,209,2.898818391075147,11.450345795537999,11.06036611582322,11.843011390342324,11.8045929027866,11.286803162636252,12.286886825902275,4.321579226169461,0
"(42210000,)","(42210000,)",7691133,76,351.6975,9.309755526858176,22.30237561243,186,3.3714747677093877,15.764344527229554,15.297608074559703,16.248984733906003,15.5410130124936,15.377332533559251,16.10693252813314,7.053920725723267,0
"(42250000,)","(42250000,)",76899393,768,1.3146,4.464861178706137,12.413365408484927,182,2.101728262242389,8.665865449650035,8.347333503635879,8.957025967345112,8.758770763853441,8.325340673889032,9.050490149929757,2.8214514923323932,0
"(42251000,)","(42251000,)",7689577,768,4.2191,5.137630676577716,14.399444506766415,184,2.342677706818252,9.99965163347343,9.64653912763547,10.346201385322242,10.15141112037679,9.530266096295376,10.601817673487695,4.553097508694492,0
"(42255000,)","(42255000,)",768944393,768944,0.5634,3.74805807729076,13.236214188617533,197,2.386305928303632,8.371555491547973,8.060994262961188,8.685023489141491,8.475882696864133,8.004963677406227,8.78373253660181,2.2527727379066587,0
"(42257000,)","(42257000,)",7689411,76894,3.9056,6.0752671102358,15.687534840930628,186,2.477458308361883,10.642424973066806,10.28882658607365,10.990973267104915,10.600746077916845,10.062633705992312,11.168260630707268,4.345129347256181,0
"(42290000,)","(42290000,)",768911,768,14.04103499999995,6.649517538754427,16.287741100512463,177,2.5960475370273994,11.315177395443978,10.934601344742102,11.699981989852775,11.143903940799124,10.696801300757182,11.695628068881879,5.666633107256194,1
"(42365000,)","(42365000,)",7688133,7688,9.8188,5.394954128201373,14.282691311007802,216,2.4290007843451358,9.706693199697135,9.390665236286015,10.000479050216,9.740991863063321,9.286647842354883,10.092659487111375,3.6431420792324367,1
"(42395000,)","(42395000,)",768755,768,24.3336,6.988506785837672,17.480441953426563,213,2.771988584107821,11.520421626831045,11.189465875001943,11.901072509008626,11.56618329840896,11.18768027288746,11.896034277217876,6.011774617274723,0
"(42435000,)","(42435000,)",768641,76864,1.5634,7.526275724334906,16.908424415323516,199,2.476850318827348,12.635525070281316,12.311244229309267,12.962942725382812,12.769841361029549,12.337366184296872,13.135030853461252,6.436887833396962,0
"(42440000,)","(42440000,)",7686915,7686,1.2908,4.685563010080822,15.478462179421962,207,2.728672273447195,10.232749140239187,9.88044166217851,10.610162950390034,10.275838929274364,9.799616119797477,10.738132530051093,3.247160583706936,0
"(42460000,)","(42460000,)",76847751,7684,14.8822,7.991826224097691,16.765646872646474,202,2.320019496960215,12.309939659141346,12.001030128445045,12.614809717782896,12.420527686073472,12.178703216611622,12.723628916819507,5.782531907990328,1
"(42490000,)","(42490000,)",76847333,7684,14.6056,8.320441100700549,16.56552589106701,193,2.194226692261218,12.639322981682612,12.362888919095129,12.952352184501057,12.788047595688777,12.403702312615962,13.095520050449018,6.599622228196713,1
"(42540000,)","(42540000,)",7684717,7684,16.5676,7.699827757250672,16.302235054190323,201,2.4549815951045137,12.556258107394063,12.222918135166946,12.905862934439657,12.764593982965062,12.418202828132682,13.125382215246674,5.742276861079982,0
"(42545002,)","(42545002,)",7684653,76846,0.9202,5.4431553647485105,14.79344614784391,184,2.4548892148529076,10.294071114326266,9.95620977821804,10.649055276455664,10.380390368729483,9.888685082209411,11.041541335556992,3.87242649669489,0
"(42545500,)","(42545500,)",76846111,76846,1.0102,5.722868344911187,15.600871317527666,188,2.6530649725047555,11.307136698198713,10.948435542506335,11.680379036686972,11.641024010963209,11.004323863260815,11.914071390370575,3.884562893169432,0
