,codigo,cobacia,cocursodag,q95,knnr_intervalo_i,knnr_intervalo_f,knnr_qtde_dados,knnr_desvio_padrao,knnr_media,knnr_media_lower_bound,knnr_media_upper_bound,knnr_mediana,knnr_mediana_lower_bound,knnr_mediana_upper_bound,knnr_moda,knnr_dentro_intervalo
"(40300001,)","(40300001,)",7698615,76986,3.1201,3.757399999999999,23.319165833333336,210,5.450865417307185,11.965967936507939,11.246139198412699,12.700954567460316,10.951433333333334,10.752533333333334,11.065399999999999,11.065399999999999,0
"(40330000,)","(40330000,)",7698555,7698,20.7338,3.757399999999999,33.82469575,212,19.672450915177414,13.730215849056604,11.320171670990565,16.320713084119497,10.63,5.593933333333333,10.83365,5.593933333333333,1
"(40400000,)","(40400000,)",7698417,76984,4.3194,2.4624,28.3922,204,6.937569333550666,13.156880000000001,12.293320526960784,14.124273312091503,11.065399999999999,11.065399999999999,11.065399999999999,11.065399999999999,1
"(40500000,)","(40500000,)",76982331,76982,0.7619,2.3484333333333334,33.598396666666666,218,10.175875353173522,15.98426490825688,14.635039374617739,17.335378092507646,17.374950000000002,11.2326,18.841766666666665,3.7574,0
"(40530000,)","(40530000,)",7697451,76974,0.4606,2.39029,41.59153333333334,218,11.423797351221266,14.036654747706423,12.566959828555047,15.586932717889908,9.478200000000001,7.097761666666666,13.824666666666666,4.781428333333333,0
"(40549998,)","(40549998,)",76969233,769692,1.9377,1.4135,12.765600000000001,206,3.9058574075557644,6.1704179611650485,5.661844805825244,6.747504939320388,5.595366666666666,5.595366666666666,5.595366666666666,5.595366666666666,1
"(40579995,)","(40579995,)",7696955,7696,2.254,2.360566666666667,22.300899999999984,193,4.778733286291919,8.840514853195165,8.132049369602765,9.546071796200346,6.707,6.2059,10.268466666666667,5.489933333333333,0
"(40680000,)","(40680000,)",76968511,76968,1.91,1.4227333333333334,18.355198333333334,200,4.75071997852962,5.6215459999999995,4.965722620833333,6.320538129166666,4.998066666666666,2.0911166666666663,5.6046000000000005,1.9241333333333335,1
"(40710000,)","(40710000,)",7696777,7696,12.6221,2.0338999999999996,24.1996,191,6.375641816966271,9.753231762652705,8.82290301919721,10.709333948516582,7.977833333333334,6.821666666666666,9.9078,2.0339,1
"(40740000,)","(40740000,)",76967351,7696,16.2733,2.0339,24.500766666666667,207,6.298404058506177,10.954922222222221,10.089853739935585,11.831933844605476,9.954033333333333,8.288400000000001,11.178633333333332,5.6046000000000005,1
"(40800001,)","(40800001,)",7696573,7696,19.7695,2.4624,30.398916666666665,192,14.319341865421011,15.237242829861112,13.42537375,17.319227825520837,13.469266666666664,11.799133333333334,15.882683333333334,10.383133333333333,1
"(40810350,)","(40810350,)",7696568,7696568,0.036,0.3955844999999999,1.9241333333333335,204,0.4654422529337412,1.1131783333333334,1.0460152442810458,1.1755762581699347,0.803,0.803,0.803,0.803,0
"(40810800,)","(40810800,)",76965675,769656,0.0785,0.36543333333333333,1.9241333333333335,199,0.5691599562252107,1.5265909966499165,1.4458913618090454,1.6052573886097157,1.7001733333333329,1.7001733333333329,1.9241333333333335,1.9241333333333335,0
"(40811100,)","(40811100,)",76965655,769656,0.1986199999999995,0.16656666666666667,8.834189999999987,229,2.2079949068355473,1.5427681586608442,1.2872428202328967,1.8504698922852982,0.803,0.803,0.803,0.803,1
"(40822995,)","(40822995,)",76965623,7696562,0.1309,0.18913999999999984,11.064900000000002,203,2.9514891099916896,1.8052978981937602,1.4443110246305417,2.1801544154351395,0.803,0.803,0.803,0.803,0
"(40823500,)","(40823500,)",769656213,7696562,0.2903,0.1360066666666665,12.393633333333334,191,3.4383031078400497,1.7098215706806283,1.2568548184991275,2.1902532678883073,0.7125666666666667,0.5537399999999999,0.803,0.3348733333333332,1
"(40850000,)","(40850000,)",7696397,7696,25.3048,4.917966666666666,95.05794583333332,196,25.659105063078716,19.55510605442177,16.507353546343538,23.542980919217683,15.555983333333334,14.614633333333332,16.101466666666667,10.951433333333334,1
"(40930000,)","(40930000,)",76958597,76958,2.27,2.62539325,26.501966666666664,200,5.78740471192095,6.70268585,5.973049770625,7.543160425,4.632513333333333,4.394,5.303605895833332,3.36999,0
"(40960000,)","(40960000,)",769583715,76958,4.744,1.8907625000000001,26.700530249999996,192,8.048140728355056,8.433267013888889,7.324931561848959,9.607209084201388,4.8061,4.522166666666666,5.258161666666666,2.5453233333333336,1
