,index,q95,rodada,y_pred_RandomForestRegressor
22,64,1.3146,1,1.0202863
23,147,0.0,1,0.07638500000000001
24,25,0.036,1,0.22192799999999985
25,129,91.2264,1,117.12677070000004
26,126,26.5578,1,30.802565949999988
27,71,1.5634,1,3.511219799999998
28,72,1.2908,1,1.1114808000000003
29,28,0.1309,1,0.36350999999999956
0,131,65.8824,2,44.46403615000004
1,51,27.9617,2,25.70051525000001
2,138,819.714,2,719.315794
3,136,0.1093,2,11.900762050000003
4,143,0.0,2,0.03270200000000001
5,5,0.4344,2,1.6896572999999997
6,20,2.254,2,2.0320214000000005
7,137,893.539,2,720.1738130000007
8,40,0.8705000000000002,2,1.5771867999999998
9,44,18.8523,2,14.32426385
10,115,100.569,2,93.54182139999999
11,96,539.255,2,483.1783099999999
12,112,38.6483,2,26.010580900000004
13,126,26.5578,2,30.069901650000002
14,148,804.869,2,726.2976599999995
15,38,230.307,2,92.25707400000002
16,74,14.6056,2,18.51240205000002
17,120,12.7955,2,17.419189550000027
18,100,0.0224,2,15.718829500000005
19,35,267.5,2,77.61511999999995
20,128,90.0729,2,84.11702584999999
21,141,806.112,2,723.4092010000002
22,65,4.2191,2,4.2231141
23,125,4.1632,2,14.875421000000012
24,122,1.7296,2,5.6272759999999975
25,16,4.3194,2,4.859509399999998
26,53,0.0535,2,0.8573337000000005
27,111,30.2317,2,19.726397100000028
28,145,710.2378499999994,2,744.1245980000006
29,76,0.9202,2,1.195100300000001
0,56,1.0565,3,1.3969449999999997
1,148,804.869,3,736.6274004999991
2,127,92.2362,3,83.41049629999998
3,135,0.0813,3,0.10296299999999997
4,49,0.5381,3,0.9594573000000008
5,68,14.04103499999995,3,28.920497800000007
6,96,539.255,3,479.95253599999984
7,2,4.9898,3,5.546523600000001
8,87,3.9026,3,7.115783199999999
9,128,90.0729,3,83.44370029999993
10,47,0.98,3,1.2325929999999992
11,60,0.265,3,0.8365050000000004
12,89,14.256,3,34.92808855000003
13,45,1.523,3,1.4035013999999995
14,79,19.0626,3,34.9044788
15,5,0.4344,3,1.5375571999999997
16,37,9.669585,3,19.210747000000016
17,30,25.3048,3,30.177276100000007
18,24,19.7695,3,25.020615250000002
19,53,0.0535,3,0.9724189
20,141,806.112,3,826.6118865000007
21,83,4.8713,3,14.05931550000001
22,117,653.749,3,645.6945480000019
23,54,8.7703,3,12.999159100000004
24,8,1.06597,3,2.438107200000002
25,51,27.9617,3,28.536785400000014
26,74,14.6056,3,20.303420000000024
27,107,592.418,3,557.0109225000009
28,32,4.744,3,5.336275
29,25,0.036,3,0.13249059999999996
0,90,21.952,4,30.748929399999998
1,12,4.6613,4,5.561271000000001
2,48,26.3377,4,24.609866099999994
3,131,65.8824,4,41.424956650000006
4,14,3.1201,4,3.6273171999999976
5,30,25.3048,4,24.020835799999986
6,129,91.2264,4,104.82044199999997
7,108,521.196,4,635.7908890000003
8,78,1.1114,4,1.2542628999999992
9,136,0.1093,4,3.870634349999999
10,82,0.8080000000000002,4,0.6016492000000004
11,0,2.601039999999997,4,1.4471663500000005
12,47,0.98,4,1.4770273999999994
13,58,49.4681,4,58.45579800000003
14,44,18.8523,4,14.862702550000005
15,18,0.4606,4,1.6055232500000012
16,102,29.2342,4,22.283474450000003
17,54,8.7703,4,11.957222650000004
18,146,781.017,4,727.6625894999991
19,28,0.1309,4,0.33138484999999923
20,24,19.7695,4,20.869400700000007
21,124,44.9176,4,56.34679019999999
22,111,30.2317,4,18.842985250000023
23,100,0.0224,4,15.748470800000007
24,17,0.7619,4,1.6334781000000005
25,127,92.2362,4,86.31773990000009
26,83,4.8713,4,11.767966350000005
27,26,0.0785,4,0.20040965000000008
28,104,60.6356,4,39.35237010000002
29,120,12.7955,4,16.676317950000016
0,42,11.5124,5,3.640173699999997
1,100,0.0224,5,14.888798400000008
2,136,0.1093,5,1.3731227000000015
3,78,1.1114,5,1.5710218999999987
4,55,41.95629000000001,5,37.58979085000003
5,149,749.272,5,773.5293560000001
6,52,30.8772,5,28.34662184999999
7,77,1.0102,5,1.6322558999999999
8,24,19.7695,5,21.442408999999994
9,105,3.8259,5,2.0342919999999998
10,49,0.5381,5,0.6198560000000003
11,88,5.661469999999989,5,8.309776700000008
12,126,26.5578,5,28.864877450000005
13,31,2.27,5,4.419225899999998
14,74,14.6056,5,19.43495040000002
15,104,60.6356,5,37.93865190000005
16,14,3.1201,5,3.1274064
17,125,4.1632,5,7.229774000000005
18,127,92.2362,5,81.76370790000009
19,79,19.0626,5,24.964333699999983
20,12,4.6613,5,4.316084999999996
21,32,4.744,5,3.969306199999999
22,7,44.5338,5,33.04875344999998
23,26,0.0785,5,0.1550245999999998
24,97,499.1056,5,510.3875149999993
25,5,0.4344,5,1.5738720499999994
26,65,4.2191,5,3.4882899999999983
27,37,9.669585,5,19.839213500000007
28,18,0.4606,5,1.6227543000000002
29,109,21.0648,5,4.999623999999999
0,91,2.2008,6,3.6508388000000003
1,97,499.1056,6,509.01201999999955
2,134,0.0,6,2.491164999999999
3,75,16.5676,6,18.458176650000013
4,34,1.8049,6,2.0590589999999995
5,60,0.265,6,0.38444799999999996
6,117,653.749,6,647.0884770000017
7,55,41.95629000000001,6,35.46641605000002
8,82,0.8080000000000002,6,0.6292095000000004
9,138,819.714,6,840.7929504999993
10,32,4.744,6,4.773072700000004
11,109,21.0648,6,8.459385099999995
12,98,0.9242,6,3.702660799999998
13,85,72.7823,6,77.18293980000006
14,102,29.2342,6,21.546220700000003
15,115,100.569,6,90.80174544999998
16,67,3.9056,6,4.420683550000006
17,64,1.3146,6,1.3538221000000001
18,122,1.7296,6,7.482169999999999
19,133,155.102,6,88.6211659999999
20,12,4.6613,6,5.962851699999995
21,15,20.7338,6,25.016529799999986
22,7,44.5338,6,31.900955699999994
23,1,7.1585,6,3.8767017999999998
24,71,1.5634,6,3.6496251
25,139,0.0,6,1.8040974
26,80,48.2795,6,75.73808480000004
27,38,230.307,6,209.964664
28,14,3.1201,6,4.501978799999998
29,99,0.2635,6,2.1143037
0,49,0.5381,7,0.6133512000000001
1,60,0.265,7,0.5589729999999998
2,32,4.744,7,4.646069650000001
3,73,14.8822,7,8.6923197
4,117,653.749,7,652.5451230000017
5,69,9.8188,7,8.912944500000004
6,102,29.2342,7,28.488969849999986
7,104,60.6356,7,36.89387505000003
8,144,0.0,7,0.383054
9,86,417.366,7,453.3221059999999
10,138,819.714,7,833.2350254999997
11,18,0.4606,7,1.4871737999999999
12,90,21.952,7,37.88620775000002
13,11,2.2915,7,2.680603900000001
14,26,0.0785,7,0.2844059999999995
15,23,16.2733,7,17.018334200000016
16,146,781.017,7,744.5491394999995
17,96,539.255,7,496.5410270000004
18,1,7.1585,7,4.0045005
19,110,19.308,7,36.72949740000002
20,123,22.3438,7,21.613158849999994
21,84,6.2164,7,24.473612949999993
22,126,26.5578,7,27.583070399999986
23,89,14.256,7,31.520650549999996
24,111,30.2317,7,19.8921201
25,93,19.7051,7,43.16743530000002
26,54,8.7703,7,9.396053300000004
27,25,0.036,7,0.26766999999999963
28,43,1.3317,7,1.1614112999999997
29,14,3.1201,7,3.1918361999999996
0,115,100.569,8,91.51325835000006
1,46,21.8598,8,20.459449650000025
2,112,38.6483,8,24.188856700000002
3,54,8.7703,8,13.08621650000001
