,codigo,cobacia,cocursodag,q95,LinearRegression_intervalo_i,LinearRegression_intervalo_f,LinearRegression_qtde_dados,LinearRegression_desvio_padrao,LinearRegression_media,LinearRegression_media_lower_bound,LinearRegression_media_upper_bound,LinearRegression_mediana,LinearRegression_mediana_lower_bound,LinearRegression_mediana_upper_bound,LinearRegression_moda,LinearRegression_dentro_intervalo
"(40740000,)","(40740000,)",76967351,7696,16.2733,-35.67459093743116,77.022269047396,207,2694369967737.3384,242424320263.05304,-37528098692.89687,658876138782.4784,15.989479286568482,12.26061276351696,19.939857025781826,-2039208956488.9001,1
"(40800001,)","(40800001,)",7696573,7696,19.7695,-25.828836040680184,121.46080268034166,192,3855630118878.5093,135312337789.15718,-356998825799.3508,696146814288.211,23.81728603956786,19.794544969622784,28.23560835203841,-20354118438725.023,1
"(40810350,)","(40810350,)",7696568,7696568,0.036,-38.69031326008922,50.454654338999596,204,4627646611853.029,142219650372.26407,-369397836573.03485,811404082607.2219,6.77376055655936,3.6447493383773875,9.814927471571089,-20444498083391.234,1
"(40810800,)","(40810800,)",76965675,769656,0.0785,-41.38459875809315,51.70955626851682,199,8144236739461.729,-201428359610.2442,-1523033160913.9763,786660843583.0906,6.86361358123024,4.630839533351278,10.421670096258993,-93083396371871.03,1
"(40811100,)","(40811100,)",76965655,769656,0.1986199999999995,-42.6395666548795,44.68247609826606,229,1648743259229.0862,98703431541.11221,-33492653189.378883,329578233144.8356,9.044605562173771,6.288067918875157,10.553981041905018,-2999498978996.0225,1
"(40822995,)","(40822995,)",76965623,7696562,0.1309,-44.69652605423759,3651470855826.029,203,2827941282145.8853,247866889008.44827,-116201145117.53952,653224811060.0674,9.998446009301759,7.241113376165956,12.978669378840564,-21571421815472.074,1
"(40823500,)","(40823500,)",769656213,7696562,0.2903,-47.1764332035377,46.19652563325934,191,1522435522865.4336,-163614297210.22397,-424504557719.8794,6.606885369502867,8.565587852305654,3.9675400259034035,12.085487416891311,-16775584749787.045,1
"(40850000,)","(40850000,)",7696397,7696,25.3048,-22.600237591245435,141.00378036612372,196,3392812176110.0806,-169363775590.22223,-708588389510.2083,185962079736.24228,39.45731348364194,34.91703805241838,44.03006202933503,-44533209866705.87,1
"(40930000,)","(40930000,)",76958597,76958,2.27,-3726701916427.258,34.157037514991615,200,6621451308348.53,-674478921427.5803,-1823835885938.737,-52884967293.56542,-8.646757832897087,-11.25965964760664,-4.710418439676949,-90131426119963.36,1
"(40960000,)","(40960000,)",769583715,76958,4.744,-45.87475304545363,46.73558786535192,192,1690734567627.253,-70050448951.89734,-328986468207.3201,127914606742.52834,4.694948545813496,-0.3876453346584867,8.480411901389132,-15725715508332.459,1
