,codigo,cobacia,cocursodag,q95,RandomForestRegressor_intervalo_i,RandomForestRegressor_intervalo_f,RandomForestRegressor_qtde_dados,RandomForestRegressor_desvio_padrao,RandomForestRegressor_media,RandomForestRegressor_media_lower_bound,RandomForestRegressor_media_upper_bound,RandomForestRegressor_mediana,RandomForestRegressor_mediana_lower_bound,RandomForestRegressor_mediana_upper_bound,RandomForestRegressor_moda,RandomForestRegressor_dentro_intervalo
"(40330000,)","(40330000,)",7698555,7698,20.7338,6.433469070000003,277.5347654187499,212,66.75850675097466,108.08273330601415,99.94607563159495,117.65503471908315,100.22781074999997,93.17256962500001,110.41073530000004,0.3828324999999996,1
"(40400000,)","(40400000,)",7698417,76984,4.3194,0.41722881749999985,284.06511337499984,204,73.50818894862589,96.80907783566177,86.4954897243995,107.43162177303003,83.91794374999995,77.65565032500002,92.33327092124998,0.2846685999999999,1
"(40500000,)","(40500000,)",76982331,76982,0.7619,0.1500339699999999,60.6912625699998,218,20.257906580889973,12.701007945412847,10.145866734042432,15.444424356427756,2.4999682000000014,0.9309507999999999,5.441059699999999,0.10406599999999994,1
"(40530000,)","(40530000,)",7697451,76974,0.4606,0.2452626574999999,57.975824636249754,218,27.989493494769192,13.076830244364354,9.972705479954133,17.110542424155472,2.93265885,1.25252695,6.219554677499998,0.1788977999999999,1
"(40549998,)","(40549998,)",76969233,769692,1.9377,0.9053302687500004,42.32227075000004,206,12.699838303415088,10.774790969625526,9.19617684871013,12.3386349862266,3.106814225000001,2.6641342999999997,4.948620627499998,0.6455011999999996,1
"(40579995,)","(40579995,)",7696955,7696,2.254,0.8334976800000002,42.67786543000005,193,12.907699113421387,11.684005284233908,9.856768053167102,13.500167652118808,3.456620450000002,2.6386227000000018,8.9700738,0.50941645,1
"(40680000,)","(40680000,)",76968511,76968,1.91,0.7987911025000002,42.505967448750035,200,12.544476273940411,10.721218678946434,9.049715787117416,12.452776661083039,3.1214554000000003,2.3356128000000007,5.4618475,0.44961324999999985,1
"(40710000,)","(40710000,)",7696777,7696,12.6221,0.8499697517857143,47.85279157500003,191,18.308347003752225,17.359299903721023,14.954067448056756,19.950815989729815,10.135834950000007,7.573179400000003,19.475261700000015,0.6849912999999995,1
"(40740000,)","(40740000,)",76967351,7696,16.2733,0.7472667174999997,78.30799815999994,207,24.589011701171653,20.72604734423741,17.700442026318157,24.172023675887694,16.96359765000002,9.679552949999993,22.293820550000014,0.5098394000000002,1
"(40800001,)","(40800001,)",7696573,7696,19.7695,0.7658360537500001,107.59209386124992,192,29.70230782603821,27.110171757031264,23.129302144479173,31.598654954348962,21.85512052499999,19.325068450000007,24.78457505,0.5299200499999999,1
"(40810350,)","(40810350,)",7696568,7696568,0.036,0.1956923249999997,42.21400753125002,204,13.6605961306216,9.556947454831937,7.805334601265759,11.569884915233722,1.1638511000000005,0.8461752000000003,2.2932923500000006,0.16438885,0
"(40810800,)","(40810800,)",76965675,769656,0.0785,0.17016611999999998,39.44306609750002,199,12.559163645294868,8.843602998384785,7.167659644335071,10.637635043422474,1.3909387999999987,0.8568334500000002,2.3747598499999993,0.1138025999999999,0
"(40811100,)","(40811100,)",76965655,769656,0.1986199999999995,0.13048779999999996,41.107471585000035,229,12.370691569418748,8.730401679694326,7.144045848007643,10.457531119508737,1.4856772999999996,0.8774172000000003,2.7287140000000005,0.10225099999999991,1
"(40822995,)","(40822995,)",76965623,7696562,0.1309,0.1416171049999999,44.94730012000004,203,13.971368118353888,9.938866307142861,8.0274130765702,11.914518478688425,1.5259983999999995,0.9279670000000002,3.2512532,0.1079575999999999,0
"(40823500,)","(40823500,)",769656213,7696562,0.2903,0.13897342499999993,41.86346112500002,191,12.550782892983376,8.820189175243085,7.0324980691557615,10.684039149873788,1.5529194499999996,0.8710267999999997,3.2165708,0.0980461999999998,1
"(40850000,)","(40850000,)",7696397,7696,25.3048,0.8904651249999997,214.74468972500006,196,59.43389714334128,53.881230198979615,46.115288612557414,63.435215025637774,34.19336685000001,27.945212925,38.606657875000025,0.4244735999999992,1
"(40930000,)","(40930000,)",76958597,76958,2.27,0.8899079975000003,40.939628531250044,200,12.001789047284966,10.177855452821431,8.527057725404468,11.924182689027683,3.7065939499999994,3.1842807000000013,4.3874919,0.5560053,1
