,cluster,repeticao,modelo,mse,mae,r2_score
244,0,34,lr,2.5340529627011807e+28,129407449125062.53,-4.313882714064136e+23
245,0,35,brr,2044.1167302136262,29.81055321721135,0.9441108818709072
246,0,35,svr,39257.117283701475,29.81055321721135,0.9441108818709072
247,0,35,knnr,1688.8679074333272,22.380922333333356,0.9538239002754453
248,0,35,rfr,2536.5714951784744,32.13603909166672,0.9306464538734519
249,0,35,xgbr,1417.190155461936,27.164468514272055,0.9612519643133483
250,0,35,xgbrf,2438.874838722291,32.603866612264,0.9333176222528264
251,0,35,lr,2058.9271683652673,30.2758602265717,0.9437059429967392
252,0,36,brr,496.61504960387833,16.963275418541535,0.9885187916747699
253,0,36,svr,49899.98572587813,16.963275418541535,0.9885187916747699
254,0,36,knnr,1236.7411532119208,20.499064000000022,0.9714078684571937
255,0,36,rfr,827.6831477626549,14.428802909999972,0.9808648516505388
256,0,36,xgbr,836.2557935430613,14.646748288882272,0.9806666612570303
257,0,36,xgbrf,1044.2498853798638,17.859685855536124,0.9758580605094288
258,0,36,lr,519.1256692154566,18.234082652464373,0.987998370246751
259,0,37,brr,2730.6028139733685,32.580923611889126,0.9180648408357153
260,0,37,svr,36523.47475559747,32.580923611889126,0.9180648408357153
261,0,37,knnr,1327.4366320629995,19.80650000000002,0.9601686004379674
262,0,37,rfr,8657.937981793584,70.43105547833342,0.74020772155416
263,0,37,xgbr,1548.0160719299429,27.77947740904744,0.9535498379356435
264,0,37,xgbrf,2590.917309474088,37.30383812615967,0.9222562794387679
265,0,37,lr,2.8615861259643202e+26,8778171388841.41,-8.586547757636722e+21
266,0,38,brr,6529.408802876861,42.30110349865067,0.9093591032783916
267,0,38,svr,84562.87637327093,42.30110349865067,0.9093591032783916
268,0,38,knnr,2483.934376915774,24.92578361111105,0.9655181585165756
269,0,38,rfr,4583.110807112246,48.067599420000036,0.9363775058550301
270,0,38,xgbr,5848.072051686139,36.44440524999889,0.9188173828809958
271,0,38,xgbrf,4061.3669040776513,32.213480166185384,0.9436203262477816
272,0,38,lr,6123.7895343093,43.13323242000911,0.9149898878318611
273,0,39,brr,16384.601484981486,65.54024137500006,-0.14186287370114892
274,0,39,svr,14810.209020973656,65.54024137500006,-0.14186287370114892
275,0,39,knnr,3921.7935733648774,29.759672777777777,0.7266854196087775
276,0,39,rfr,8306.977267027496,72.48142464333341,0.42107661620011316
277,0,39,xgbr,10622.409447219858,68.482302765625,0.25971132174616907
278,0,39,xgbrf,10921.685096530377,72.54502404990642,0.2388544365015859
279,0,39,lr,16428.696196950823,65.54024137500015,-0.14493588799267654
280,0,40,brr,493.0019820377433,18.88342604867416,0.98932160905072
281,0,40,svr,50063.24172870803,18.88342604867416,0.98932160905072
282,0,40,knnr,780.2550382594393,13.58236694444446,0.9830997264874244
283,0,40,rfr,3488.568735807467,45.50771234999999,0.9244378274902436
284,0,40,xgbr,1965.4658155123059,28.034186550247192,0.9574281379382382
285,0,40,xgbrf,2815.5850659820976,37.28525137611897,0.9390146101213656
286,0,40,lr,517.0422372886206,19.25354775588668,0.9888008986815074
287,0,41,brr,1370.5478527979276,23.469709988114527,0.9747818462068802
288,0,41,svr,63009.07765433507,23.469709988114527,0.9747818462068802
289,0,41,knnr,1286.6599758357356,19.0140732777778,0.9763253876295983
290,0,41,rfr,3144.609699579008,38.8883663000001,0.942139013343147
291,0,41,xgbr,2207.932936975511,23.82595433471578,0.9593739158717631
292,0,41,xgbrf,1028.9601887346644,16.775679411448145,0.9810670774949336
293,0,41,lr,1353.2717916728445,24.223655667602035,0.9750997266555653
294,0,42,brr,11180.10197083446,43.23573268556288,0.38686459608156465
295,0,42,svr,20567.144899083876,43.23573268556288,0.38686459608156465
296,0,42,knnr,5400.885098349881,35.12309955555558,0.7038064701974582
297,0,42,rfr,8168.8355107118205,59.875292998333364,0.5520074616967274
298,0,42,xgbr,5980.315973221241,38.92714133439516,0.6720295164242408
299,0,42,xgbrf,8493.313935305625,54.09611430112203,0.5342125247234208
300,0,42,lr,11381.680035535075,45.93327965727196,0.37580971944057073
301,0,43,brr,24570.85494261409,67.41573575,-1.7892164866203277
302,0,43,svr,9505.117190571336,67.41573575,-1.7892164866203277
303,0,43,knnr,6424.091700757928,31.82606433333334,0.27075461862587824
304,0,43,rfr,14717.840345275345,83.56746720666669,-0.6707291233603438
305,0,43,xgbr,16753.45864545307,85.93958563801066,-0.9018069648348213
306,0,43,xgbrf,20422.341856991337,91.55873951908366,-1.3182885876764865
307,0,43,lr,24640.386395420315,67.41573574999998,-1.7971095076388774
308,0,44,brr,687.4404964696901,18.70700856648959,0.9851092055594207
309,0,44,svr,50815.96902463711,18.70700856648959,0.9851092055594207
310,0,44,knnr,2115.7557326446868,26.148895555555562,0.9541701661989906
311,0,44,rfr,21411.759052226185,98.54327689833332,0.5361953444766677
312,0,44,xgbr,2294.711693896723,31.908028484130877,0.9502937631552286
313,0,44,xgbrf,3578.606516041856,43.78575948948163,0.9224830450231608
314,0,44,lr,764.0592590372751,20.83906223717211,0.9834495502880997
315,0,45,brr,1659.0850829295389,23.374195165890068,0.9521901369201484
316,0,45,svr,38111.51576803226,23.374195165890068,0.9521901369201484
317,0,45,knnr,781.4804558723797,13.754688166666755,0.9774800738194418
318,0,45,rfr,6792.583617712895,59.20956986166673,0.8042580841316087
319,0,45,xgbr,720.1441658157526,15.599886468110418,0.9792476019948235
320,0,45,xgbrf,1374.9949847637924,23.284310256708796,0.9603767626908188
321,0,45,lr,1702.3417757379298,23.417632279349288,0.9509436085885183
322,0,46,brr,5058.148548292626,43.526427529273555,0.8200584496254859
323,0,46,svr,29543.456782266792,43.526427529273555,0.8200584496254859
324,0,46,knnr,343.96141809211423,10.592712833333387,0.9877637142820958
325,0,46,rfr,6628.661356848789,63.885631896666744,0.7641881035973884
326,0,46,xgbr,3157.28845875062,41.479212785888684,0.8876807640536937
327,0,46,xgbrf,3869.0132465209576,47.564169344930036,0.8623614479979016
328,0,46,lr,5117.223886914001,43.30025123638091,0.8179568687962678
329,0,47,brr,9115.844596944033,50.33280691447912,0.8776414141938279
330,0,47,svr,88646.60960754452,50.33280691447912,0.8776414141938279
331,0,47,knnr,2766.5526523209423,24.006388111111217,0.9628655944606836
332,0,47,rfr,3071.3223910691386,27.39801183666682,0.958774783803134
333,0,47,xgbr,3930.5214690615676,26.16687134336662,0.9472420746842922
334,0,47,xgbrf,3839.34062499042,29.13295993800556,0.9484659611837285
335,0,47,lr,8832.275521598196,51.57373222347883,0.8814476562450924
336,0,48,brr,4687.0376237826895,43.06928538503544,0.9251284252435261
337,0,48,svr,74627.54673118694,43.06928538503544,0.9251284252435261
338,0,48,knnr,1679.124193839784,24.820810000000066,0.9731773707199266
339,0,48,rfr,12095.932026245886,53.47664836833337,0.8067774249651971
340,0,48,xgbr,2924.5683283641315,30.598547856309484,0.953282424037635
341,0,48,xgbrf,5461.507536850096,38.392790874039406,0.9127569047550543
342,0,48,lr,4634.588951798026,44.42611313686817,0.9259662496820269
343,0,49,brr,5372.074903505386,42.33386422969919,0.9178414757703173
344,0,49,svr,77894.38815578872,42.33386422969919,0.9178414757703173
345,0,49,knnr,2073.1903085623276,23.569450666666636,0.9682933951483779
346,0,49,rfr,1595.9145990032232,29.214894768333387,0.9755926731093877
347,0,49,xgbr,3033.1425296409443,29.327484821256018,0.9536122413611583
348,0,49,xgbrf,1390.1630610109905,20.805222186406514,0.9787393609391495
349,0,49,lr,5378.328077148546,42.39067625589971,0.9177458420482448
350,0,50,brr,11295.76270774805,49.04612595833343,0.39732667399475197
351,0,50,svr,19988.487913799177,49.04612595833343,0.39732667399475197
352,0,50,knnr,2721.5951268649314,24.474535722222175,0.8547922057514288
353,0,50,rfr,6910.69271920121,55.35823990833331,0.6312873885687735
354,0,50,xgbr,9461.234980562815,61.85483802264909,0.4952059368295848
355,0,50,xgbrf,13927.61210592889,74.96033857768754,0.25690716701815985
356,0,50,lr,11424.32114411468,49.046950317492744,0.3904675762573353
357,0,51,brr,4483.154487119241,43.703175172809146,0.8486819592439478
358,0,51,svr,31330.30888591019,43.703175172809146,0.8486819592439478
359,0,51,knnr,657.9662661214928,14.39012244444446,0.9777919394571085
360,0,51,rfr,25642.21034318394,110.67329996333336,0.13450918523255273
361,0,51,xgbr,8009.531203274907,69.04778319217935,0.7296576389378866
362,0,51,xgbrf,7463.0387782576445,64.94675783573403,0.7481031694854571
363,0,51,lr,4789.991920413727,44.515697425539265,0.8383254035262857
364,0,52,brr,325.7608832148215,13.006662149151843,0.9924523244597976
365,0,52,svr,49525.276649780666,13.006662149151843,0.9924523244597976
366,0,52,knnr,220.65442815538353,9.701666555555509,0.9948875751631374
367,0,52,rfr,955.5347300692641,19.843462613333372,0.9778608590485626
368,0,52,xgbr,371.25169746427326,10.682699838600605,0.9913983307984775
369,0,52,xgbrf,235.88046308446468,9.530739147928806,0.994534797474563
370,0,52,lr,553.4034230569395,16.016123854844345,0.9871779894539496
371,0,53,brr,2550.1485046769853,36.27212439641442,0.9541703881081196
372,0,53,svr,65919.17682415918,36.27212439641442,0.9541703881081196
373,0,53,knnr,1756.096919939459,25.010603333333354,0.968440567230595
374,0,53,rfr,13816.010586351707,80.77696455666674,0.7517076351022893
375,0,53,xgbr,2503.7848725697195,32.0105984801777,0.9550036051782146
376,0,53,xgbrf,4969.358302051326,52.71699203526818,0.910693921582597
377,0,53,lr,2586.9857857532497,36.723860124386874,0.9535083724287264
378,0,54,brr,20725.397321964938,81.15553216666673,0.7697693112002868
379,0,54,svr,109981.70842905871,81.15553216666673,0.7697693112002868
380,0,54,knnr,9403.27292143633,47.16240255555555,0.8955425573733355
381,0,54,rfr,5947.846327569087,53.008658203333404,0.9339275992832331
382,0,54,xgbr,11135.316777957229,53.233692827306676,0.8763019298513002
383,0,54,xgbrf,9516.33804348853,49.89435833213555,0.8942865592120017
384,0,54,lr,20471.377445875012,81.15553216666677,0.7725911230156396
385,0,55,brr,7638.44150116509,37.39522693172805,0.6523747779605304
386,0,55,svr,24089.256825297347,37.39522693172805,0.6523747779605304
387,0,55,knnr,2661.583941455001,22.261030111111047,0.8788714021723076
388,0,55,rfr,8335.670312133498,59.15287767499994,0.6206439176550298
389,0,55,xgbr,8611.436315895098,47.148936650939866,0.6080938158739346
390,0,55,xgbrf,15345.061757579026,73.03925399865716,0.301646743007178
391,0,55,lr,7685.658357977433,39.69849271891156,0.6502259403565647
392,0,56,brr,45893.359507001886,93.83159032623551,-21.91141992599852
393,0,56,svr,1886.8594791985322,93.83159032623551,-21.91141992599852
394,0,56,knnr,38132.134353222056,80.11810766666667,-18.03677029152706
395,0,56,rfr,25523.692883002546,92.15543693333338,-11.742236610842827
396,0,56,xgbr,58214.50225140783,136.06990343134564,-28.06252497513281
397,0,56,xgbrf,45247.9970152923,123.30526151062013,-21.589234511575086
398,0,56,lr,45962.67284961583,94.76769068225711,-21.946023343925695
399,0,57,brr,4410.918880583589,48.276466038722056,0.924909272159372
400,0,57,svr,71825.69341490517,48.276466038722056,0.924909272159372
401,0,57,knnr,3962.333302000418,25.37438666666665,0.9325459162479531
402,0,57,rfr,4022.2335809209494,39.071554593333296,0.9315261841549874
403,0,57,xgbr,7049.686605373167,40.99593315963195,0.879987342189399
404,0,57,xgbrf,3570.9092775297736,31.910499398491563,0.9392094518258098
405,0,57,lr,4397.617022586447,49.053977473403755,0.9251357207125374
406,0,58,brr,3326.991133159789,36.268342568189304,0.8958446885774475
407,0,58,svr,34558.7384735226,36.268342568189304,0.8958446885774475
408,0,58,knnr,367.39692364339413,12.184829722222263,0.9884982137113716
409,0,58,rfr,7732.625370061844,63.94560671166662,0.7579212052880335
410,0,58,xgbr,1930.4313705303489,30.77368303834026,0.9395656097266201
411,0,58,xgbrf,3084.2541765123187,39.68613473099772,0.903443850192696
412,0,58,lr,3372.527279011841,37.20655443384653,0.8944191267823072
413,0,59,brr,2242.5097788381986,36.989431948986294,0.9555447598120904
414,0,59,svr,62270.16531166896,36.989431948986294,0.9555447598120904
415,0,59,knnr,1436.8593164909782,19.65896766666669,0.9715158762589946
416,0,59,rfr,2247.7978261061558,27.27663618333333,0.9554399302083846
417,0,59,xgbr,1872.0573473893892,26.66425737953659,0.9628885636044574
418,0,59,xgbrf,1548.0125604971918,24.552425158786814,0.9693123879145551
419,0,59,lr,2473.160972961473,38.29241588840737,0.9509723586876278
420,0,60,brr,1223.4554679769399,20.177982691993048,0.9669738438599325
421,0,60,svr,43091.55002392444,20.177982691993048,0.9669738438599325
422,0,60,knnr,1488.3118318685329,20.851800722222233,0.9598242680416655
423,0,60,rfr,4176.440789563802,36.57635000833338,0.8872604772007273
424,0,60,xgbr,791.5326821393882,13.539738023777643,0.9786332378786715
425,0,60,xgbrf,639.7575703076312,14.921644840770723,0.982730279963759
426,0,60,lr,1504.0249233084805,24.539901921522333,0.9594001062924873
427,0,61,brr,2877.3824338106288,33.12153797565671,0.9502486203988625
428,0,61,svr,68600.55220800903,33.12153797565671,0.9502486203988625
429,0,61,knnr,1587.3050297394727,19.517915555555575,0.9725547031394156
430,0,61,rfr,2757.4803132232964,35.542319308333354,0.9523217879577613
